relationship_name,source_entity,target_entity,business_description,cardinality
livesIn,Patient,CommunityHealth,,
references,PatientDiagnosis,Diagnosis,,
affects,PatientDiagnosis,Patient,,
dispenses,Prescription,Medication,,
PrescriptionHasPayer,Prescription,Payer,,
prescribedBy,Prescription,Provider,,
serves,Prescription,Patient,,
ClaimHasPayer,Claim,Payer,,
submittedBy,Claim,Provider,,
covers,Claim,Patient,,
involves,Encounter,Patient,,
treatedBy,Encounter,Provider,,
billsFor,Claim,Encounter,,
originatesFrom,Prescription,Encounter,,
occursIn,PatientDiagnosis,Encounter,,
adherenceFor,MedicationAdherence,Patient,,
adherenceMedication,MedicationAdherence,Medication,,
